product_id,title,handle,vendor,product_type,tags,variant_id,variant_title,sku,price,available,image,url
100001,"12 x Cacao, Oat & Raspberry Shroombar",12-pack-cacao-oat-raspberry-shroombar,Example Vendor,Build a Box,multipack,200001,Default Title,4512-RACA-SHRMBAR,27.00,False,https://www.example.com/images/shroombar_cacao_oat_raspberry.jpg,https://www.example.com/products/12-pack-cacao-oat-raspberry-shroombar
100002,1250 Calorie Plan 1 Week,1250-calorie-plan-1-week,Example Vendor,Meal Plan,meal-plan,200002,5 Days,1W5D-1250,112.50,True,https://www.example.com/images/1weekplan.jpg,https://www.example.com/products/1250-calorie-plan-1-week
100003,1250 Calorie Plan 1 Week,1250-calorie-plan-1-week,Example Vendor,Meal Plan,meal-plan,200003,7 Days,1W7D-1250,157.50,True,https://www.example.com/images/1weekplan.jpg,https://www.example.com/products/1250-calorie-plan-1-week
100004,1250 Calorie Plan 1 Week,1250-calorie-plan-1-week,Example Vendor,Meal Plan,meal-plan,200004,3 Days,1W3D-1250,67.50,True,https://www.example.com/images/1weekplan.jpg,https://www.example.com/products/1250-calorie-plan-1-week
100005,1250 Calorie Plan 1 Week WEEK B,1250-calorie-plan-1-week-b,Example Vendor,Meal Plan,meal-plan,200005,5 Days,1W5D-1250-B,112.50,True,https://www.example.com/images/1weekplan.jpg,https://www.example.com/products/1250-calorie-plan-1-week-b
100006,1250 Calorie Plan 1 Week WEEK B,1250-calorie-plan-1-week-b,Example Vendor,Meal Plan,meal-plan,200006,7 Days,1W7D-1250-B,157.50,True,https://www.example.com/images/1weekplan.jpg,https://www.example.com/products/1250-calorie-plan-1-week-b
100007,1250 Calorie Plan 1 Week WEEK B,1250-calorie-plan-1-week-b,Example Vendor,Meal Plan,meal-plan,200007,3 Days,1W3D-1250-B,67.50,True,https://www.example.com/images/1weekplan.jpg,https://www.example.com/products/1250-calorie-plan-1-week-b
100008,1250 Calorie Plan 2 Weeks,1250-calorie-plan-2-weeks,Example Vendor,Meal Plan,meal-plan;recharge_only,200008,3 Days,2W3D-1250,67.50,True,https://www.example.com/images/8weekplan.jpg,https://www.example.com/products/1250-calorie-plan-2-weeks
100009,1250 Calorie Plan 2 Weeks,1250-calorie-plan-2-weeks,Example Vendor,Meal Plan,meal-plan;recharge_only,200009,5 Days,2W5D-1250,112.50,True,https://www.example.com/images/8weekplan.jpg,https://www.example.com/products/1250-calorie-plan-2-weeks
100010,1250 Calorie Plan 2 Weeks,1250-calorie-plan-2-weeks,Example Vendor,Meal Plan,meal-plan;recharge_only,200010,7 Days,2W7D-1250,157.50,True,https://www.example.com/images/8weekplan.jpg,https://www.example.com/products/1250-calorie-plan-2-weeks
100011,1250 Calorie Plan 2 Weeks WEEK B,1250-calorie-plan-2-weeks-b,Example Vendor,Meal Plan,meal-plan;recharge_only,200011,3 Days,2W3D-1250-B,67.50,True,https://www.example.com/images/8weekplan.jpg,https://www.example.com/products/1250-calorie-plan-2-weeks-b
